id,name,absolute_magnitude,is_potentially_hazardous_asteroid,diameter_km_min,diameter_km_max,close_approach_date,rel_km_s,miss_km
2001620,1620 Geographos (1951 RA),15.26,True,2.35806068,5.2727839755,1901-08-23,11.7628116061,5071250.912184169
2001863,1863 Antinous (1948 EA),15.46,False,2.1505769,4.8088361393,1907-10-11,18.0795138977,13378701.443445945
2001915,1915 Quetzalcoatl (1953 EA),18.38,False,0.5604733623,1.2532565376,1906-03-06,15.120986141,3789658.286758657
2001917,1917 Cuyo (1968 AA),14.38,False,3.536347843,7.907514169,1926-09-28,15.2344898243,16872242.23565602
2002063,2063 Bacchus (1977 HB),17.21,False,0.9606274149,2.1480282008,1903-03-06,10.3891121599,9959874.764243582
2002100,2100 Ra-Shalom (1978 RA),16.24,False,1.5016024791,3.3576852183,1906-12-24,17.9951285685,12234211.959762506
2002102,2102 Tantalus (1975 YA),16.0,True,1.6770846216,3.750075218,1912-12-23,33.9011179662,10979849.003996313
2002201,2201 Oljato (1947 XC),15.32,True,2.29379698,5.1290859738,1903-06-18,25.3456268472,25845172.24946737
2002340,2340 Hathor (1976 UA),20.43,True,0.2180494405,0.4875733714,1901-07-04,17.4915658691,11911205.968456928
2000719,719 Albert (A911 TB),15.59,False,2.0256060086,4.529392731,1909-08-21,3.446029003,255628984.35594097
2000887,887 Alinda (A918 AA),13.81,False,4.5978518828,10.2811093604,1974-01-04,7.0959736724,20461808.70383613
2001627,1627 Ivar (1929 SH),12.79,False,7.3545308935,16.4452310205,1929-07-19,6.5498703345,24911350.57033978
2001916,1916 Boreas (1953 RA),14.93,False,2.7450798165,6.1381850734,,,
2001943,1943 Anteros (1973 EC),15.7,False,1.9255507819,4.3056624424,1937-05-28,7.2023032539,18431471.588282432
2002101,2101 Adonis (1936 CA),18.69,True,0.4859090375,1.0865256386,1902-07-16,19.3298299696,28140949.153484065
2002135,2135 Aristaeus (1977 HA),18.05,True,0.6524616298,1.4589485569,1958-10-17,27.4377860884,71380028.48041442
2000433,433 Eros (A898 PA),10.38,False,22.3128464417,49.8930414151,1900-12-27,5.5786191875,47112732.928149395
2001036,1036 Ganymed (A924 UB),9.18,False,38.7752830381,86.70416872,1910-02-25,6.3038663691,292651826.17328167
2001685,1685 Toro (1948 OA),14.28,False,3.7030107822,8.2801838305,1908-08-04,16.1350821461,26483636.64554235
2001980,1980 Tezcatlipoca (1950 LA),13.81,False,4.5978518828,10.2811093604,,,
2002059,2059 Baboquivari (1963 UA),15.98,False,1.6926024946,3.7847742368,1922-11-16,3.2390038886,207416502.58300328
2002062,2062 Aten (1976 AA),17.11,False,1.0059003902,2.249261651,1900-01-19,11.2688208334,18835343.845160324
2002329,2329 Orthos (1976 WA),14.58,False,3.2251875645,7.2117386345,1920-10-05,23.0928141352,27250292.66816308
2001221,1221 Amor (1932 EA1),17.37,False,0.8923905787,1.9954459964,1908-03-14,10.7701740589,27512874.49403824
2001566,1566 Icarus (1949 MA),16.53,True,1.313877806,2.9379200884,1902-06-11,27.0080561011,12638658.792139495
2001580,1580 Betulia (1950 KA),14.55,False,3.2700543928,7.3120639125,1929-06-09,11.3576547414,276689988.3291326
2001862,1862 Apollo (1932 HA),16.08,True,1.6164228334,3.6144313359,1911-01-29,11.6407137864,9839827.664614672
2001864,1864 Daedalus (1971 FA),14.84,False,2.8612445378,6.3979372868,1909-11-13,21.1217901951,22024824.333672885
2001865,1865 Cerberus (1971 UA),16.78,False,1.1709948272,2.6184240349,1905-12-23,20.5740260826,15819612.815413322
2001866,1866 Sisyphus (1972 XA),12.48,False,8.4831076189,18.9688052962,1959-11-17,23.0737678663,29534088.129173607
2001981,1981 Midas (1973 EA),15.27,True,2.3472263753,5.2485577338,1916-09-24,31.4029238373,23199849.40546541
2002061,2061 Anza (1960 UA),16.7,False,1.214940408,2.7166893409,1943-09-15,6.8951217224,10260841.473748216
2002202,2202 Pele (1972 RA),16.98,False,1.0679599752,2.3880311019,1972-10-07,6.4939302847,22477105.69833364
2002212,2212 Hephaistos (1978 SB),13.49,False,5.3278866487,11.913516723,1905-03-14,29.4211459452,17637404.0597914
2002608,2608 Seneca (1978 DA),17.48,False,0.8483107619,1.8968805296,1905-03-01,17.1348117091,25771799.401042502
2003122,3122 Florence (1981 ET3),14.08,True,4.0602705828,9.0790410302,1930-08-29,13.9543936845,7837812.447728948
2003271,3271 Ul (1982 RB),16.57,False,1.2898968334,2.8842970035,1949-02-26,13.6702729058,11184170.1338772
2003551,3551 Verenia (1983 RD),16.72,False,1.2038017674,2.6917825833,1983-09-16,8.0029025934,12754488.578215236
2003691,3691 Bede (1982 FT),14.93,False,2.7450798165,6.1381850734,,,
2003752,3752 Camillo (1985 PA),15.14,False,2.4920398144,5.5723704277,1934-02-14,29.1012701156,14064861.320584532
2003908,3908 Nyx (1980 PA),17.45,False,0.8601119401,1.9232687664,1932-12-08,9.7158922895,13926111.375569925
2004055,4055 Magellan (1985 DO2),14.92,False,2.7577505292,6.1665176484,,,
2004197,4197 Morpheus (1982 TA),14.97,False,2.6949764633,6.0261505697,1913-05-12,28.5627059477,26640610.812517375
2003102,3102 Krok (1981 QA),16.16,False,1.5579552413,3.4836938254,1981-08-25,6.1275450954,29746628.225871444
2003103,3103 Eger (1982 BB),15.3,False,2.3150212221,5.176544822,1981-08-03,16.9574701293,26405147.116129663
2003199,3199 Nefertiti (1982 RA),14.99,False,2.6702687706,5.9709024892,1916-03-16,13.4221932631,7046928.930383422
2003200,3200 Phaethon (1983 TB),14.39,True,3.5200998005,7.8711824416,1924-10-21,33.8777872522,22346302.96064534
2003352,3352 McAuliffe (1981 CW),15.93,False,1.7320282714,3.8729329538,,,
2003361,3361 Orpheus (1982 HR),19.54,True,0.3285148278,0.7345814866,1929-11-12,12.957608137,22268359.837452825
2003362,3362 Khufu (1984 QA),18.52,True,0.5254785303,1.1750057146,1912-09-09,30.0103355297,72881438.22636625
2003552,3552 Don Quixote (1983 SA),13.04,False,6.5547325584,14.6568275748,1920-12-29,11.8518831198,90060440.67815797
2003553,3553 Mera (1985 JA),16.4,False,1.3949382293,3.1191767052,,,
2003988,3988 Huma (1986 LA),17.94,False,0.6863647587,1.5347582577,1900-07-25,7.3299903587,8206416.543000942
2004034,4034 Vishnu (1986 PA),18.49,True,0.5327886649,1.1913516723,1904-12-26,15.176834952,10094314.420628816
2004179,4179 Toutatis (1989 AC),15.29,True,2.3257068746,5.2004386672,1906-10-02,12.3343370269,23118432.290616184
2004183,4183 Cuno (1959 LM),14.16,True,3.9134066315,8.7506432516,1903-09-16,17.9568235978,11911798.106745962
2002368,2368 Beltrovata (1977 RA),15.15,False,2.4805899315,5.5467677112,,,
2003288,3288 Seleucus (1982 DV),15.34,False,2.2727673228,5.0820622309,1982-04-12,6.5008847618,20895360.863966495
2003360,3360 Syrinx (1981 VA),16.04,False,1.6464743776,3.6816286314,1950-12-01,22.563779094,13338427.048959646
2003554,3554 Amun (1986 EB),15.91,False,1.7480545317,3.9087687612,1909-02-03,14.8870508525,58971083.96452386
2003671,3671 Dionysus (1984 KD),16.49,True,1.3383046182,2.9925401008,1930-11-15,3.3245414486,275200659.7481271
2003753,3753 Cruithne (1986 TO),15.42,False,2.1905591097,4.898239078,1900-07-17,16.5981218464,13746248.569927242
2003757,3757 Anagolay (1982 XB),19.01,True,0.4193290755,0.9376483177,1900-11-16,10.8941174534,27345732.08504038
2004257,4257 Ubasti (1987 QA),15.98,False,1.6926024946,3.7847742368,1911-07-24,22.6262625633,5900908.746334356
2004401,4401 Aditi (1985 TB),16.12,False,1.5869197917,3.5484605292,1927-11-05,17.9108794175,55084708.62027917
2003838,3838 Epona (1986 WA),15.62,False,1.9978136523,4.4672471329,1979-08-01,19.7672923269,7402722.301816688
2004015,4015 Wilson-Harrington (1979 VA),16.19,True,1.536579294,3.4358957542,1919-09-30,8.8059885516,7860397.821594541
2004341,4341 Poseidon (1987 KF),16.08,False,1.6164228334,3.6144313359,1902-08-11,18.4314699043,13539063.299066482
2004450,4450 Pan (1987 SY),17.27,True,0.9344476509,2.0894884689,1907-12-11,21.422989131,14855018.764668012
2004503,4503 Cleobulus (1989 WM),15.82,False,1.8220277059,4.0741778073,1902-07-15,4.6214113009,203480043.4725798
2004769,4769 Castalia (1989 PB),17.4,True,0.8801465209,1.9680674509,1902-02-18,15.6642793458,9859362.333996717
2004947,4947 Ninkasi (1988 TJ1),18.09,False,0.6405528629,1.4323197447,1933-07-01,7.4478981076,2528169.206535438
2005011,5011 Ptah (6743 P-L),16.65,True,1.2432400055,2.7799691647,1902-03-31,15.3340185686,6011154.747032986
2005587,5587 (1990 SB),13.89,False,4.431543091,9.9092315966,1906-09-21,3.5600831278,294494433.6099226
2005590,5590 (1990 VA),19.91,False,0.2770479727,0.6194981001,1900-05-27,12.9443112777,4838845.235615849
2005620,5620 Jasonwheeler (1990 OA),17.1,False,1.0105434154,2.2596437711,,,
2005645,5645 (1990 SP),17.23,False,0.9518203298,2.1283349598,1908-11-10,10.516391844,15226197.439282706
2004486,4486 Mithra (1987 SB),15.61,True,2.0070351411,4.4878670088,1902-08-23,22.2049163409,26278328.872829452
